ID	SAMPLE
sample_0	1883.2008.269.Crump.Artic.LTREB.main.lane2.NoIndex
sample_1	1453.45796SDZ4.G4.Pnem.stom
sample_2	1039.L.Vermelha.SA
sample_3	1773.Thraupis.gauco3.lgi
sample_4	1453.45300SDZ4.D7.Pnem.stom
sample_5	2382.SH004.C1.RH.1.605.gp.9.12.lane8.NoIndex.L008.sequences
sample_6	1774.139.Oral.Puer
sample_7	1627.LC
sample_8	722.TRRsed1.5.s.6.1.sequence
sample_9	933.N.2.3.S.E.4
sample_10	807.B.F.11.b
sample_11	804.Julie.1
sample_12	1453.45300SDZ4.E6.Pnem.feces
sample_13	2382.RU006.C181.RH.4.794.leav.9.12.lane8.NoIndex.L008.sequences
sample_14	722.F11Tong.1.s.1.1.sequence
sample_15	807.S.S.12.a
sample_16	2382.GM.181.R4.leav.10.12.lane8.NoIndex.L008.sequences
sample_17	1883.2009.148.Crump.Artic.LTREB.main.lane3.NoIndex
sample_18	1642.MS00545
sample_19	1665.CCS2012.006
sample_20	1748.5.15.12.FI.11.D
sample_21	1883.2011.497.Crump.Artic.LTREB.main.lane4.NoIndex
sample_22	1521.MZ.82a.s.8.1.sequences
sample_23	1198.ANT02.S1M2
sample_24	1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00
sample_25	1521.Cle.W3.s.8.1.sequences
sample_26	804.3871.1442.dark.side
sample_27	1064.G.CV314
sample_28	1747.992491.skin
sample_29	2192.H04a.Bedroom.Floor.1804.lane5.NoIndex.L005
sample_30	1736.B34.0710
sample_31	1632.E2B01.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences
sample_32	550.L5S119.s.5.sequence
sample_33	940.CR.53.Fecal
sample_34	1453.46834SDZ4.A3.Pnem.stom
sample_35	722.F11Plmr.2.s.2.1.sequence
sample_36	2382.MU002.C3.HA.1.680.gp.9.12.lane8.NoIndex.L008.sequences
sample_37	1642.MS00456
sample_38	1773.Columb.talpa1.gizz
sample_39	550.L6S265.s.6.sequence
sample_40	1622.UPMain.25.26
sample_41	810.1230A1H1
sample_42	804.H06.073005.Bio2slurpA2.0326
sample_43	808.FL.3.16a.s.4.1.sequences
sample_44	809.PLRP6.70
sample_45	1039.L.Vermelha.SC.2.3
sample_46	2382.SH005.C3.RH.4.270.r1.gp.9.11.lane8.NoIndex.L008.sequences
sample_47	2229.W1.T1.4.HP3.Thomas.CMB.Seaweed.lane5.NoIndex.L005
sample_48	1039.I.Fundao.SB
sample_49	1521.SPL.Sum.5.s.8.1.sequences
sample_50	2382.SH005.C3.RH.4.670.gp.9.12.lane8.NoIndex.L008.sequences
sample_51	1521.87.W.s.6.1.sequences
sample_52	1747.DZF.6132012.TJ.log.by.shift
sample_53	1665.IFAW11.306Dd
sample_54	1642.MS00405
sample_55	662.M16
sample_56	2080.S42D60.85
sample_57	2338.0626.1.I2
sample_58	945.P3.F2.lane2.NoIndex.L002
sample_59	1883.2009.158.Crump.Artic.LTREB.main.lane3.NoIndex
sample_60	1064.G.CV05
sample_61	2382.DPOO1.C1.HA.5.650.gp.9.12.lane8.NoIndex.L008.sequences
sample_62	1773.Turdus.oliv1.ugi
sample_63	2382.HE003.C181.HA.2.760.gp.9.12.lane8.NoIndex.L008.sequences
sample_64	662.M44
sample_65	1197.SE.20101013.GY.FFMT2.BC.273
sample_66	2192.H07a.Kitchen.Floor.3674.lane2.NoIndex.L002
sample_67	1642.MS00354
sample_68	550.L4S1.s.4.sequence
sample_69	933.T.3.2.S.E.5
sample_70	1642.MS00488
sample_71	940.RD.10.Ventral
sample_72	933.W.2.2.S.E.5
sample_73	1883.2008.329.Crump.Artic.LTREB.main.lane2.NoIndex
sample_74	1622.PP.112.113B
sample_75	638.VAN35.120210.1
sample_76	1453.45796SDZ4.F3.Pnem.stom
sample_77	1064.G.CV315
sample_78	1674.McG.F110714Jr5H5
sample_79	662.M17
sample_80	1748.5.18.12.R.5.V
sample_81	1453.54323SDZ1.D3.Cguer.stom
sample_82	1064.G.CJV171
sample_83	807.E.F.11.b
sample_84	2192.H01a.Nose.207.lane6.NoIndex.L006
sample_85	2338.0627.8.I
sample_86	2192.H03a.Kitchen.Counter.1225.lane5.NoIndex.L005
sample_87	722.NP5.6.s.7.1.sequence
sample_88	1642.MS00623
sample_89	1521.MZ.101a.s.8.1.sequences
sample_90	1041.M028.5
sample_91	933.N.2.3.S.E.5
sample_92	945.P13.B3.lane5.NoIndex.L005
sample_93	1453.44923SDZ3.B2.Pnem.stom
sample_94	861.C4.jul09
sample_95	2382.HE003.C181.HA.1.553.root.4.12.lane7.NoIndex.L007.sequences
sample_96	1580.TtB.sed.D1
sample_97	2382.SH005.C3.RH.1.653.root.9.12.lane7.NoIndex.L007.sequences
sample_98	1521.SPL.Fall.9.s.8.1.sequences
sample_99	2382.GM.181.R3.leav.10.12.lane8.NoIndex.L008.sequences
sample_100	2229.W2.T1.4.HP1.Thomas.CMB.Seaweed.lane5.NoIndex.L005
sample_101	1883.2010.314B.Crump.Artic.LTREB.main.lane3.NoIndex
sample_102	1774.7.Oral.Puer
sample_103	2229.S2.T21.ES1.Thomas.CMB.Seaweed.lane6.NoIndex.L006
sample_104	2182.Z4RA
sample_105	755.EF.DELTA.26.05.11.lane1.NoIndex.L001
sample_106	550.L1S273.s.1.sequence
sample_107	1453.45661SDZ2.D2.Pnem.stom
sample_108	755.EF.BETA.30.06.11.lane1.NoIndex.L001
sample_109	1521.C2.s.8.1.sequences
sample_110	755.SSF.uneven.mix1.lane3.NoIndex.L003
sample_111	958.O.13
sample_112	864.3.CON.addV.addG.noW.A.lane2.NoIndex
sample_113	804.H08.080105.Bio5slurpB1.0428.1.1
sample_114	2182.Z1FB
sample_115	1580.1CB.sed.D1
sample_116	1521.MZ.26b.s.8.1.sequences
sample_117	933.Phylospora.comosa.2.4
sample_118	1674.McG.P110714Hi2
sample_119	678.OA.mesocosm.362
sample_120	722.NP3.1.s.1.1.sequence
sample_121	1883.2011.203.Crump.Artic.LTREB.main.lane4.NoIndex
sample_122	2382.RU006.C181.RH.4.793.root.9.12.lane7.NoIndex.L007.sequences
sample_123	1883.2011.541.Crump.Artic.LTREB.main.lane3.NoIndex
sample_124	1642.MS00621
sample_125	1064.G.CV344
sample_126	1197.SE.20100928.GY.LBNL05.BC.101.a
sample_127	2229.S2.T12.PH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006
sample_128	2192.H02a.Front.Door.Knob.773.lane2.NoIndex.L002
sample_129	894.SV1387.lane5.NoIndex.L005
sample_130	1039.I.Fundao.SA
sample_131	2382.SH008.C6.HA.1.SH008.gp.gp.9.12.lane8.NoIndex.L008.sequences
sample_132	933.T.2.2.H.E.4
sample_133	1036.P.Ac.14.1.s.4.1.sequences
sample_134	1064.G.CV06
sample_135	905.SA.Station.4.tF
sample_136	1521.Flea10.s.7.1.sequences
sample_137	1715.McG.NQ3
sample_138	662.M15
sample_139	1064.H.CV263
sample_140	678.seasonal.insitu.sample.506
sample_141	1773.Columb.passer8.gizz
sample_142	1747.DZF.6272012.KK.concrete.wall
sample_143	722.NP3.6.s.7.1.sequence
sample_144	1883.2011.534.Crump.Artic.LTREB.main.lane4.NoIndex
sample_145	905.Alsback.0to0.25cm
sample_146	861.X83.dec08
sample_147	2382.HE003.C181.HA.3.765.gp.9.12.lane8.NoIndex.L008.sequences
sample_148	1673.MBS0613.4
sample_149	1883.2011.362.Crump.Artic.LTREB.main.lane4.NoIndex
sample_150	804.LS11.127
sample_151	925.SF4z
sample_152	1240.1503B
sample_153	807.S.S.12.b
sample_154	2382.SH007.C6.RH.4.716.bulk.9.12.lane7.NoIndex.L007.sequences
sample_155	1039.L.Jacarepia.HB
sample_156	804.073105.bio1slurpA1.2109.1.1
sample_157	910.AcrTA4
sample_158	2382.SH004.C1.RH.5.423.root.4.12.lane7.NoIndex.L007.sequences
sample_159	2382.DPOO1.C1.HA.5.648.root.9.12.lane7.NoIndex.L007.sequences
sample_160	2229.S1.T12.EH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006
sample_161	1673.MBS1.1
sample_162	1642.MS00546
sample_163	1747.DZF.6272012.KK.log
sample_164	1039.P.Abraao.SB
sample_165	2229.W1.T12.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
sample_166	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
sample_167	804.3862.1325
sample_168	804.3867.1228.2
sample_169	1034.ZKE4
sample_170	2229.S2.T11.PH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006
sample_171	1694.St2E5.Pmoss.Jstar.16s.NoIndex.sequences
sample_172	1039.L.Vermelha.SB
sample_173	1747.DZF.6132012.TJ.shelf
sample_174	1665.IFAW11.263Ba
sample_175	1883.2011.524.Crump.Artic.LTREB.main.lane4.NoIndex
sample_176	1694.St5C6.Pmoss.Jstar.16s.NoIndex.sequences
sample_177	2338.0702.6.I
sample_178	1222.B4.5.8.06
sample_179	1747.DZF.612012.RJ.front.rock.ledge
sample_180	804.Julie.2
sample_181	1736.Y43b.0811
sample_182	2382.SH007.C6.RH.4.718.root.9.12.lane7.NoIndex.L007.sequences
sample_183	1748.5.15.12.FI.25.V
sample_184	1883.2009.1.Crump.Artic.LTREB.main.lane3.NoIndex
sample_185	2229.S2.T22.ES2.Thomas.CMB.Seaweed.lane6.NoIndex.L006
sample_186	2192.H03a.Nose.1215.lane6.NoIndex.L006
sample_187	1774.4BI22.10.09
sample_188	776.SN.BE.T3B
sample_189	1747.DZF.6202012.RJ.soil
sample_190	2229.W2.N3.5.HP2.Thomas.CMB.Seaweed.lane5.NoIndex.L005
sample_191	945.P6.H7.lane2.NoIndex.L002
sample_192	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
sample_193	1580.A23.2.sed.D1
sample_194	804.Julie.3
sample_195	1747.DZF.6252012.A.plastic.hide.box
sample_196	1453.45661SDZ2.D6.Pnem.ileum
sample_197	1453.45187SDZ5.A2.Tfran.stom
sample_198	1773.Columb.passer10.ugi
sample_199	722.AQC4cm.7.s.8.1.sequence
sample_200	2229.S2.N23.PH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006
sample_201	1883.2011.486.Crump.Artic.LTREB.main.lane4.NoIndex
sample_202	2192.H05b.Front.Door.Knob.2693.lane5.NoIndex.L005
sample_203	910.AcrIFN
sample_204	678.OA.mesocosm.431
sample_205	1773.Columb.passer5.ugi
sample_206	638.FRX7.120910.2
sample_207	1715.McG.NQ2
sample_208	1453.45300SDZ3.F2.Pnem.Mlymph
sample_209	662.M14
sample_210	550.L1S119.s.1.sequence
sample_211	1774.L507.Vagi.Puer
sample_212	1774.35Fecal23.10.09
